import time: self [us] | cumulative | imported package
import time:       145 |        145 |                                 jedi._compatibility
import time:      1749 |       1749 |                                   zipfile
import time:       345 |       2093 |                                 jedi.inference.compiled.subprocess.functions
import time:       172 |        172 |                                 jedi.api.exceptions
import time:       681 |       3090 |                               jedi.inference.compiled.subprocess
import time:        16 |       3106 |                             jedi.inference.compiled.subprocess.functions
import time:       480 |      22813 |                           jedi.inference.imports
import time:       233 |        233 |                               jedi.inference.param
import time:       327 |        560 |                             jedi.inference.gradual.annotation
import time:       124 |        124 |                             jedi.inference.value.decorator
import time:       816 |       1499 |                           jedi.inference.syntax_tree
import time:       459 |      24769 |                         jedi.inference
import time:        23 |      24792 |                       jedi.inference.utils
import time:       173 |        173 |                         jedi.inference.gradual.conversion
import time:       378 |        550 |                       jedi.inference.compiled.mixed
import time:       141 |        141 |                         pydoc_data
import time:      1915 |       1915 |                         pydoc_data.topics
import time:       324 |       2379 |                       jedi.api.keywords
import time:       282 |        282 |                       jedi.api.completion_cache
import time:       845 |        845 |                       jedi.api.helpers
import time:       782 |      29627 |                     jedi.api.classes
import time:       250 |        250 |                     jedi.api.interpreter
import time:       134 |        134 |                       jedi.api.strings
import time:       136 |        136 |                       jedi.api.file_name
import time:       115 |        115 |                       jedi.inference.docstring_utils
import time:       718 |       1101 |                     jedi.api.completion
import time:       242 |        242 |                       filecmp
import time:       463 |        704 |                     jedi.api.environment
import time:       175 |        175 |                       jedi.inference.references
import time:       249 |        424 |                     jedi.api.project
import time:       108 |        108 |                     jedi.api.errors
import time:       284 |        284 |                     jedi.api.refactoring
import time:       381 |        381 |                     jedi.api.refactoring.extract
import time:        95 |         95 |                     jedi.inference.gradual.utils
import time:      1258 |      56825 |                   jedi.api
import time:       788 |        788 |                     jedi.plugins.stdlib
import time:        96 |         96 |                     jedi.plugins.flask
